Id,Type,Parameters,
Rule_1,Alive,UnitSpawnner_3,Battle
Rule_2,Alive,UnitSpawnner_1,Alive
Rule_3,Alive,UnitSpawnner_3,Interact
Rule_4,Alive,UnitSpawnner_2,RandomBattle
Rule_5,Battle,UnitGroup_1,RandomInteract
Rule_6,Alive,UnitSpawnner_3,
Rule_7,Alive,UnitSpawnner_1,
Rule_8,Alive,UnitSpawnner_3,
Rule_9,Alive,UnitSpawnner_2,
Rule_10,Battle,UnitGroup_2,
Rule_11,RandomInteract,,
Rule_12,RandomInteract,,
Rule_13,RandomInteract,,
Rule_14,RandomInteract,,
Rule_15,RandomInteract,,
Rule_16,RandomInteract,,
Rule_17,RandomInteract,,
Rule_18,RandomInteract,,
Rule_19,RandomInteract,,
Rule_20,RandomInteract,,
Rule_21,RandomInteract,,
Rule_22,RandomInteract,,
Rule_23,RandomInteract,,
Rule_24,RandomInteract,,
Rule_25,RandomInteract,,
Rule_26,RandomInteract,,
Rule_27,RandomInteract,,
Rule_28,RandomInteract,,
Rule_29,RandomInteract,,
Rule_30,RandomInteract,,
Rule_31,RandomInteract,,
Rule_32,RandomInteract,,
Rule_33,RandomInteract,,
Rule_34,RandomInteract,,
Rule_35,RandomInteract,,
Rule_36,RandomInteract,,
Rule_37,RandomInteract,,
Rule_38,RandomInteract,,
Rule_39,RandomInteract,,
Rule_40,RandomInteract,,
